Country Code,Country,Series Name,Year,Inflation Rate
ABW,Aruba,Headline Consumer Price Inflation,1970,
AFG,Afghanistan,Headline Consumer Price Inflation,1970,25.51
AGO,Angola,Headline Consumer Price Inflation,1970,7.97
ALB,Albania,Headline Consumer Price Inflation,1970,
ARE,United Arab Emirates,Headline Consumer Price Inflation,1970,21.98
ARG,Argentina,Headline Consumer Price Inflation,1970,13.59
ARM,Armenia,Headline Consumer Price Inflation,1970,
ATG,Antigua and Barbuda,Headline Consumer Price Inflation,1970,8.87
AUS,Australia,Headline Consumer Price Inflation,1970,3.44
AUT,Austria,Headline Consumer Price Inflation,1970,4.37
AZE,Azerbaijan,Headline Consumer Price Inflation,1970,
BDI,Burundi,Headline Consumer Price Inflation,1970,-0.2
BEL,Belgium,Headline Consumer Price Inflation,1970,3.91
BEN,Benin,Headline Consumer Price Inflation,1970,6.32
BFA,Burkina Faso,Headline Consumer Price Inflation,1970,1.77
BGD,Bangladesh,Headline Consumer Price Inflation,1970,3.54
BGR,Bulgaria,Headline Consumer Price Inflation,1970,-0.4
BHR,Bahrain,Headline Consumer Price Inflation,1970,1.63
BHS,"Bahamas, The",Headline Consumer Price Inflation,1970,6.15
BIH,Bosnia and Herzegovina,Headline Consumer Price Inflation,1970,
BLR,Belarus,Headline Consumer Price Inflation,1970,0.0
BLZ,Belize,Headline Consumer Price Inflation,1970,21.41
BOL,Bolivia,Headline Consumer Price Inflation,1970,3.96
BRA,Brazil,Headline Consumer Price Inflation,1970,22.26
BRB,Barbados,Headline Consumer Price Inflation,1970,7.28
BRN,Brunei Darussalam,Headline Consumer Price Inflation,1970,0.8
BTN,Bhutan,Headline Consumer Price Inflation,1970,5.65
BWA,Botswana,Headline Consumer Price Inflation,1970,4.06
CAF,Central African Republic,Headline Consumer Price Inflation,1970,4.6
CYM,Cayman Islands,Headline Consumer Price Inflation,1970,
CAN,Canada,Headline Consumer Price Inflation,1970,3.37
CHE,Switzerland,Headline Consumer Price Inflation,1970,3.62
CHL,Chile,Headline Consumer Price Inflation,1970,32.51
CHN,China,Headline Consumer Price Inflation,1970,1.06
CIV,Côte d'Ivoire,Headline Consumer Price Inflation,1970,8.21
CMR,Cameroon,Headline Consumer Price Inflation,1970,5.86
COD,"Congo, Dem. Rep.",Headline Consumer Price Inflation,1970,8.03
COG,"Congo, Rep.",Headline Consumer Price Inflation,1970,1.4
COL,Colombia,Headline Consumer Price Inflation,1970,6.91
COM,Comoros,Headline Consumer Price Inflation,1970,4.32
CPV,Cabo Verde,Headline Consumer Price Inflation,1970,4.39
CRI,Costa Rica,Headline Consumer Price Inflation,1970,4.65
CUW,Curacao,Headline Consumer Price Inflation,1970,
CYP,Cyprus,Headline Consumer Price Inflation,1970,2.4
CZE,Czech Republic,Headline Consumer Price Inflation,1970,-0.41
DEU,Germany,Headline Consumer Price Inflation,1970,3.45
DJI,Djibouti,Headline Consumer Price Inflation,1970,4.25
DMA,Dominica,Headline Consumer Price Inflation,1970,12.39
DNK,Denmark,Headline Consumer Price Inflation,1970,6.51
DOM,Dominican Republic,Headline Consumer Price Inflation,1970,3.82
DZA,Algeria,Headline Consumer Price Inflation,1970,6.6
ECU,Ecuador,Headline Consumer Price Inflation,1970,5.13
EGY,"Egypt, Arab Rep.",Headline Consumer Price Inflation,1970,3.76
ERI,Eritrea,Headline Consumer Price Inflation,1970,
ESP,Spain,Headline Consumer Price Inflation,1970,5.76
EST,Estonia,Headline Consumer Price Inflation,1970,
ETH,Ethiopia,Headline Consumer Price Inflation,1970,10.12
